title,id
Inception,27205 
Interstellar,157336
The Dark Knight,155
Avatar,19995
The Avengers,24428
Deadpool,293660
Avengers: Infinity War,299536
Fight Club,550
Guardians of the Galaxy,118340
Pulp Fiction,680
Forrest Gump,13
Harry Potter and the Philosopher's Stone,671
Iron Man,1726
Django Unchained,68718
The Shawshank Redemption,278
Avengers: Endgame,299534
The Matrix,603
Titanic,597
Joker,475557
The Lord of the Rings: The Fellowship of the Ring,120
The Lord of the Rings: The Return of the King,122
Shutter Island,11324
The Wolf of Wall Street,106646
Avengers: Age of Ultron,99861
Captain America: Civil War,271110
The Dark Knight Rises,49026
Iron Man 3,68721
Black Panther,284054
Doctor Strange,284052
Mad Max: Fury Road,76341
Inglourious Basterds,16869
Spider-Man: Homecoming,315635
Harry Potter and the Chamber of Secrets,672
Guardians of the Galaxy Vol. 2,283995
The Lord of the Rings: The Two Towers,121
Captain America: The First Avenger,1771
Suicide Squad,297761
Harry Potter and the Prisoner of Azkaban,673
Thor,10195
Iron Man 2,10138
Batman Begins,272
Thor: Ragnarok,284053
Jurassic World,135397
Se7en,807
Harry Potter and the Goblet of Fire,674
Pirates of the Caribbean: The Curse of the Black Pearl,22
Harry Potter and the Deathly Hallows: Part 2,12445
Star Wars,11
Wonder Woman,297762
Ant-Man,102899
The Godfather,238
The Martian,286217
Back to the Future,105
Star Wars: The Force Awakens,140607
Spider-Man: No Way Home,634649
Harry Potter and the Order of the Phoenix,675
Harry Potter and the Half-Blood Prince,767
Logan,263115
It,346364
John Wick,245891
Fantastic Beasts and Where to Find Them,259316
Harry Potter and the Deathly Hallows: Part 1,12444
Captain America: The Winter Soldier,100402
Spider-Man,557
Gone Girl,210577
The Hobbit: An Unexpected Journey,49051
The Revenant,281957
Batman v Superman: Dawn of Justice,209112
Gladiator,98
The Truman Show,37165
Arrival,329865
Parasite,496243
Thor: The Dark World,76338
The Amazing Spider-Man,1930
Split,381288
Deadpool 2,383498
The Shining,694
Kill Bill: Vol. 1,24
The Hunger Games: Catching Fire,101299
The Intouchables,77338
Get Out,419430
The Imitation Game,205596
Bohemian Rhapsody,424694
The Green Mile,497
The Maze Runner,198663
The Hangover,18785
The Empire Strikes Back,1891
Kingsman: The Secret Service,207703
La La Land,313369
Dunkirk,374720
Jurassic Park,329
The Silence of the Lambs,274
Beauty and the Beast,321612
Pirates of the Caribbean: Dead Man's Chest,58
Now You See Me,75656
The Hunger Games: Mockingjay - Part 1,131631
Venom,335983
The Prestige,1124
I Am Legend,6479
Saving Private Ryan,857
Captain Marvel,299537
Baby Driver,339403
Schindler's List,424
Return of the Jedi,1892
Spider-Man: Far From Home,429617
X-Men: Days of Future Past,127585
Ready Player One,333339
World War Z,72190
Catch Me If You Can,640
Star Wars: The Last Jedi,181808
Man of Steel,49521
Charlie and the Chocolate Factory,118
Whiplash,244786
The Departed,1422
The Grand Budapest Hotel,120467
Memento,77
Eternal Sunshine of the Spotless Mind,38
Léon: The Professional,101
Black Swan,44214
V for Vendetta,752
Star Wars: Episode I - The Phantom Menace,1893
Her,152601
Pirates of the Caribbean: At World's End,285
The Hobbit: The Battle of the Five Armies,122917
Reservoir Dogs,500
The Hateful Eight,273248
Alien,348
Sherlock Holmes,10528
Alice in Wonderland,12155
Pirates of the Caribbean: On Stranger Tides,1865
Spider-Man 3,559
A Quiet Place,447332
Aquaman,297802
Kill Bill: Vol. 2,393
Men in Black,607
Edge of Tomorrow,137113
300,1271
Blade Runner,78
Star Wars: Episode III - Revenge of the Sith,1895
Hacksaw Ridge,324786
Twilight,8966
Ant-Man and the Wasp,363088
Maleficent,102651
Life of Pi,87827
Ex Machina,264660
The Amazing Spider-Man 2,102382
Blade Runner 2049,335984
Star Wars: Episode II - Attack of the Clones,1894
Justice League,141052
The Hobbit: The Desolation of Smaug,57158
Once Upon a Time… in Hollywood,466272
Life Is Beautiful,637
X-Men: Apocalypse,246655
Birdman or (The Unexpected Virtue of Ignorance),194662
Divergent,157350
American Sniper,190859
Edward Scissorhands,162
John Wick: Chapter 2,324552
A Clockwork Orange,185
The Curious Case of Benjamin Button,4922
The Terminator,218
Back to the Future Part II,165
Terminator 2: Judgment Day,280
GoodFellas,769
Drive,64690
Pacific Rim,68726
The Hunger Games: Mockingjay - Part 2,131634
Donnie Darko,141
Ted,72105
The Great Gatsby,64682
Raiders of the Lost Ark,85
Me Before You,296096
1917,530915
Call Me by Your Name,398818
2012,14161
The Godfather Part II,240
American Beauty,14
Prometheus,70981
The Social Network,37799
Pirates of the Caribbean: Dead Men Tell No Tales,166426
Knives Out,546554
Good Will Hunting,489
Fifty Shades of Grey,216015
The Devil Wears Prada,350
Taxi Driver,103
Fury,228150
The Incredible Hulk,1724
Kick-Ass,23483
No Country for Old Men,6977
Rise of the Planet of the Apes,61791
Ocean's Eleven,161
The Sixth Sense,745
Amélie,194
Scarface,111
Prisoners,146233
American History X,73
The Conjuring,138843
The Fault in Our Stars,222935
The Notebook,11036
12 Years a Slave,76203
In Time,49530
Green Book,490132
Cast Away,8358
E.T. the Extra-Terrestrial,601
Taken,8681
Jurassic World: Fallen Kingdom,351286
The Big Lebowski,115
Dawn of the Planet of the Apes,119450
Dead Poets Society,207
Die Hard,562
The Matrix Reloaded,604
The Theory of Everything,266856
Nightcrawler,242582
Gran Torino,13223
Furious 7,168259
Casino Royale,36557
The Fifth Element,18
Slumdog Millionaire,12405
The Perks of Being a Wallflower,84892
Pan's Labyrinth,1417
Avatar: The Way of Water,76600
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411
American Psycho,1359
The Hangover Part II,45243
The Fate of the Furious,337339
John Wick: Chapter 3 - Parabellum,458156
Kong: Skull Island,293167
Men in Black 3,41154
Maze Runner: The Scorch Trials,294254
Full Metal Jacket,600
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764
One Flew Over the Cuckoo's Nest,510
The Usual Suspects,629
Zodiac,1949
Kingsman: The Golden Circle,343668
Jaws,578
Night at the Museum,1593
Insurgent,262500
A Beautiful Mind,453
Aladdin,420817
Dune,438631
"Three Billboards Outside Ebbing, Missouri",359940
The Mask,854
Miss Peregrine's Home for Peculiar Children,283366
Troy,652
Braveheart,197
The Lion King,420818
Star Trek,13475
Indiana Jones and the Last Crusade,89
Black Widow,497698
