title,id
You Don't Mess with the Zohan,10661
The Butterfly Effect,1954
The Hangover Part II,45243
It,346364
Avengers: Infinity War,299536
Scream,4232
Her,152601
Avatar,19995
First Blood,1368
Ghostbusters: Afterlife,425909
Fight Club,550
The Twilight Saga: New Moon,18239
Tombstone,11969
Kill Bill: Vol. 2,393
Scary Movie,4247
Insidious,49018
Ted 2,214756
Ant-Man and the Wasp: Quantumania,640146
Jojo Rabbit,515001
Aliens,679
Fantastic Beasts and Where to Find Them,259316
Shaun of the Dead,747
Knives Out,546554
300: Rise of an Empire,53182
Dune,438631
After,537915
The Conjuring 2,259693
Jurassic World,135397
Black Widow,497698
Wonder Woman 1984,464052
The Twilight Saga: Eclipse,24021
Donnie Darko,141
The Danish Girl,306819
Pirates of the Caribbean: Dead Men Tell No Tales,166426
Interstellar,157336
The Breakfast Club,2108
Se7en,807
Ghostbusters,43074
Children of Men,9693
Guardians of the Galaxy Vol. 2,283995
Ghost Rider,1250
The Truman Show,37165
Jaws,578
Spider-Man: Homecoming,315635
The Fate of the Furious,337339
The Empire Strikes Back,1891
Spotlight,314365
Star Wars: Episode II - Attack of the Clones,1894
Titanic,597
Big Fish,587
The Game,2649
The Conjuring,138843
Zack Snyder's Justice League,791373
28 Days Later,170
Red Notice,512195
Ant-Man,102899
Little Miss Sunshine,773
2012,14161
Dead Poets Society,207
There Will Be Blood,7345
Star Wars,11
E.T. the Extra-Terrestrial,601
Indiana Jones and the Last Crusade,89
Sonic the Hedgehog,454626
8 Mile,65
Split,381288
Prisoners,146233
Spider-Man: No Way Home,634649
The Lord of the Rings: The Return of the King,122
Tomorrowland,158852
Indiana Jones and the Kingdom of the Crystal Skull,217
Night at the Museum,1593
Return of the Jedi,1892
Heat,949
Natural Born Killers,241
Bullet Train,718930
The Predator,346910
The Dark Knight Rises,49026
The Others,1933
One Flew Over the Cuckoo's Nest,510
Harry Potter and the Chamber of Secrets,672
Clash of the Titans,18823
White House Down,117251
The Mummy Returns,1734
Call Me by Your Name,398818
Mortal Kombat,460465
Doctor Strange,284052
The Whale,785084
Godzilla vs. Kong,399566
Logan,263115
Goal!,9763
Batman Begins,272
Apocalypse Now,28
Scarface,111
Bad Boys for Life,38700
Kong: Skull Island,293167
The Prestige,1124
John Wick: Chapter 3 - Parabellum,458156
Alita: Battle Angel,399579
The Gentlemen,522627
The Chronicles of Narnia: Prince Caspian,2454
Furious 7,168259
Inglourious Basterds,16869
12 Years a Slave,76203
White Chicks,12153
Eternal Sunshine of the Spotless Mind,38
Venom: Let There Be Carnage,580489
Oldboy,670
War Dogs,308266
Joker,475557
The Expendables 2,76163
Platoon,792
Inception,27205
Edward Scissorhands,162
Blade Runner,78
Armageddon,95
Creed II,480530
Hereditary,493922
Fifty Shades Freed,337167
The Greatest Showman,316029
Harry Potter and the Deathly Hallows: Part 2,12445
Night at the Museum: Secret of the Tomb,181533
Marriage Story,492188
Guardians of the Galaxy,118340
Black Swan,44214
Spider-Man: Far From Home,429617
American Gangster,4982
Jumanji: The Next Level,512200
Focus,256591
City of God,598
Pacific Rim,68726
The Hunger Games: Catching Fire,101299
The Matrix Reloaded,604
Iron Man 3,68721
The Hangover Part III,109439
Beautiful Boy,451915
Die Hard,562
Room,264644
San Andreas,254128
John Carter,49529
Deadpool,293660
Black Adam,436270
Prometheus,70981
Django Unchained,68718
Nobody,615457
Moonrise Kingdom,83666
A Good Day to Die Hard,47964
Avengers: Endgame,299534
Pan's Labyrinth,1417
Cruella,337404
Project X,57214
Star Trek Beyond,188927
Star Trek Into Darkness,54138
Jurassic World: Fallen Kingdom,351286
Monty Python and the Holy Grail,762
Jurassic Park,329
Taxi Driver,103
Requiem for a Dream,641
Gattaca,782
Gran Torino,13223
Baby Driver,339403
Van Helsing,7131
The Exorcist,9552
Halloween,948
Star Wars: Episode III - Revenge of the Sith,1895
Drive,64690
The Sixth Sense,745
World War Z,72190
The Wolf of Wall Street,106646
Casino Royale,36557
The Suicide Squad,436969
The Lion King,420818
The Pianist,423
Twelve Monkeys,63
Spider-Man 3,559
Ocean's Eleven,161
300,1271
Friends with Benefits,50544
Venom,335983
Sherlock Holmes,10528
"Three Billboards Outside Ebbing, Missouri",359940
The Blind Side,22881
Train to Busan,396535
Pirates of the Caribbean: At World's End,285
The Silence of the Lambs,274
Deadpool 2,383498
Edge of Tomorrow,137113
Olympus Has Fallen,117263
Thor: Love and Thunder,616037
Taken 3,260346
Suicide Squad,297761
The Devil Wears Prada,350
Fast & Furious Presents: Hobbs & Shaw,384018
Dunkirk,374720
Life of Pi,87827
No Country for Old Men,6977
Doctor Strange in the Multiverse of Madness,453395
Back to the Future,105
Midnight in Paris,59436
The Matrix Resurrections,624860
John Wick,245891
1917,530915
The Notebook,11036
Arrival,329865
The Hangover,18785
The Proposal,18240
Birdman or (The Unexpected Virtue of Ignorance),194662
The Revenant,281957
Captain America: The Winter Soldier,100402
